student_id,name,department,year,phone,email,address,has_car,preferred_role,schedule_flexibility,rating
88715836,Anahita Bansal,Civil,4,9543654160,ritvik12@example.org,"85
Chacko Ganj, Etawah 906320",True,Driver,1,4.5
12951562,Advik Kale,Electronics,3,+910772779549,samairabaria@example.org,"H.No. 181
Sandhu
Barasat 427164",False,Driver,2,4.8
87488315,Vardaniya Talwar,Computer Science,1,04302405672,dassmanjari@example.com,"915
Soman Circle, Anantapuram-269177",True,Passenger,5,4.5
5901149,Hrishita Karpe,Civil,2,+918989599874,kuruvillaarmaan@example.com,"H.No. 820, Sant Marg, Jorhat-358128",False,Passenger,1,3.1
572286,Nirvi Chand,Electrical,2,+918381838044,mishasahni@example.net,"608
Shankar Circle
Gurgaon-253187",False,Passenger,5,3.1
56626489,Dharmajan Varma,Chemical,3,1461550191,egaba@example.net,"89
Acharya Path
Munger-928204",True,Both,2,4.7
41258565,Arnav Dass,Computer Science,3,+913316194465,mandalaniruddh@example.com,"51/796
Chaudhari Path
Pune 638216",True,Passenger,1,4.9
46032254,Arnav Krishnan,Mechanical,4,+910331131643,pihu77@example.net,"H.No. 380
Som Path
Pune 435352",False,Driver,1,3.5
56025278,Divit Keer,Chemical,4,+914535442733,qmahal@example.com,"84/981, Samra Chowk
Ramagundam-207842",True,Driver,4,4.3
73372462,Anika Tak,Mechanical,3,+918209696269,neysa17@example.net,"81/588
Dewan Path
Mehsana 860464",False,Both,1,3.9
99507076,Ojas Chaudhry,Chemical,3,06455910736,sabharwaleva@example.net,"H.No. 26, Balasubramanian Street, Kollam 718236",False,Passenger,1,4.5
80957619,Alisha Sastry,Mechanical,4,+918386122414,andraadvika@example.org,"957, Sami Nagar
Phusro-950865",False,Passenger,2,3.7
16651151,Priyansh Garde,Mechanical,2,03028809816,tiwarisaanvi@example.com,"75/30
Choudhury Street
Surat 405054",True,Passenger,4,4.6
97945836,Aradhya Tank,Mechanical,1,03492147753,aarna67@example.com,"H.No. 20, Shan Road
Bahraich 499887",False,Passenger,4,3.4
48454634,Rati Lata,Chemical,2,01923739718,kamdaraayush@example.com,"064, Subramanian Nagar, Patna 786023",True,Driver,3,4.8
79872365,Dishani Sampath,Electrical,3,+919497792217,reneedewan@example.com,"H.No. 09, Dash Ganj, Katihar 036522",False,Driver,2,3.8
95458001,Kimaya Kakar,Computer Science,3,0031947789,yram@example.net,"H.No. 458, Sarma Nagar
Buxar-872329",True,Both,1,4.7
74462501,Samiha Bobal,Chemical,3,7311651316,bhavinkannan@example.org,"71/915, Upadhyay Path, Agartala 942756",False,Both,2,3.4
39135950,Gokul Keer,Computer Science,3,5282571171,vidurramachandran@example.net,"271, Lad Circle, Ahmednagar-264243",False,Both,1,3.5
26571195,Nayantara Kapur,Electronics,4,+915271964577,dhanushsharma@example.net,"97/973, Jani Nagar, Bhalswa Jahangir Pur-612378",True,Driver,5,4.1
41220607,Samiha Sidhu,Mechanical,2,5364693577,madhuployal@example.net,"618
Roy Nagar, Hajipur 480727",False,Passenger,4,4.9
66086434,Baiju Sanghvi,Computer Science,1,7833603434,gokulsolanki@example.org,"H.No. 50, Saha Street, Durg 646646",False,Driver,1,4.8
10088602,Samarth Soman,Computer Science,4,4912475374,usoman@example.net,"H.No. 45, Tripathi Zila, Agartala-253981",False,Both,5,3.6
7455503,Aradhya Dhar,Chemical,2,02774925763,dishani10@example.org,"H.No. 51, Bhargava Marg, Raiganj-190494",False,Passenger,5,3.6
29638714,Vedika Anand,Electrical,1,+916713687670,sarmafaiyaz@example.com,"588
Doshi Chowk, Anantapuram 467781",False,Driver,2,4.3
26854888,Ranbir Basu,Electrical,2,+910814150128,anahi33@example.com,"30/941
Loke Circle, Pondicherry-179368",True,Both,4,4.1
42228619,Kavya Raj,Computer Science,4,1879417173,swaminathantaimur@example.org,"11
Brar Marg, Tinsukia-721840",False,Passenger,3,3.5
88746980,Tejas Kala,Mechanical,1,+918980910070,beradishani@example.net,"63/92
Doctor Street, Navi Mumbai-151775",True,Driver,2,4.7
90424844,Yashvi Sehgal,Electrical,2,04340437737,aviswanathan@example.org,"H.No. 504, Mangal Road, Motihari 111884",True,Driver,3,3.3
62920664,Khushi Jain,Civil,4,6986835792,madhavacharya@example.net,"H.No. 797, Shetty Nagar, Darbhanga-408885",False,Passenger,5,4.6
39067904,Uthkarsh Thakur,Electrical,4,04644807838,hdalal@example.org,"48/126
Jaggi Path
Hajipur-423349",False,Passenger,5,4.7
92194207,Rasha Contractor,Electrical,4,+916848055575,taranbera@example.org,"58/142, Ram, Jehanabad-078680",False,Both,1,4.5
66985196,Dhanush Ganesh,Mechanical,3,+915135659604,manijayan@example.com,"33, Bajwa Path, Chandigarh 084721",False,Driver,3,4.4
20443576,Yashvi Loyal,Electronics,2,+915158942792,battaehsaan@example.org,"H.No. 111
Choudhry Marg, Bokaro-333921",False,Passenger,4,3.5
86512945,Divit Dhillon,Civil,2,3631832288,pbhatia@example.org,"05/810, Rattan Marg
Jabalpur 168351",False,Both,1,3.7
3712228,Vivaan Mann,Computer Science,3,3348879596,sharafpriyansh@example.com,"19
Hans Path
Bhimavaram 687823",False,Passenger,5,4.1
67303032,Tarini Garde,Computer Science,3,8460474253,krishnannishith@example.net,"648
Das Marg, Chinsurah-189125",True,Passenger,1,3.5
111359,Advik Saini,Electrical,4,8442189361,hchaudhry@example.net,"H.No. 557, Salvi Zila
Jamalpur-007600",True,Both,5,3.3
15258153,Vidur Sagar,Electrical,2,4625431165,bhagatshray@example.com,"58/446
Bakshi Path, Bhopal 163455",True,Passenger,4,4.2
37408199,Rhea Lanka,Electronics,4,7746645094,mkaul@example.com,"69/09, Kar Chowk, Siwan 336746",False,Driver,4,4.0
28196647,Parinaaz Balasubramanian,Chemical,1,04791694869,nehmatchakrabarti@example.com,"087, Bakshi Zila, South Dumdum 732669",False,Both,1,4.4
88469238,Kiaan Gala,Electrical,1,+911788556809,mishtichopra@example.org,"H.No. 199
Bala Chowk, Alwar 610809",True,Passenger,3,4.6
80300003,Tanya Khurana,Civil,4,+919817171580,stuvanrajagopalan@example.net,"38/922, Bera Nagar, Junagadh-278515",False,Passenger,4,4.7
22948871,Sara Lata,Electronics,1,7729061477,jkoshy@example.com,"80
Rao
Jalandhar 019238",True,Passenger,4,4.3
33998786,Dhanuk Bora,Civil,3,02829064895,aarush28@example.org,"H.No. 481, Hayre Road
Kota-989209",False,Passenger,2,4.1
54792367,Vidur Acharya,Mechanical,4,03216240212,rhea42@example.org,"08/403, Dyal Ganj
Jorhat 118818",False,Passenger,2,4.9
6822775,Trisha Lad,Computer Science,3,5431582083,samairamadan@example.com,"69/62, Sandal Road
Mathura-032927",False,Driver,2,3.3
62431647,Raunak Balan,Mechanical,4,+919948682552,anayaagrawal@example.org,"792, Kumer Nagar
Raichur-980128",True,Passenger,4,4.3
26056826,Kismat Sharma,Chemical,2,+919691457487,ibandi@example.com,"H.No. 21, Kulkarni Street
Varanasi-175585",True,Driver,1,3.6
26458633,Tiya Kale,Chemical,4,+914335017163,alishaiyengar@example.net,"65, Goswami Street, Panchkula 588144",True,Passenger,2,4.4
53431495,Yakshit Mall,Computer Science,4,+916625612000,tandonsumer@example.com,"048, Golla Zila
Nanded-201341",False,Passenger,5,4.3
19863613,Samar Chandran,Electronics,4,+917478364456,mishti29@example.net,"85
Chowdhury Chowk
Fatehpur-165973",False,Both,3,3.4
10392116,Amani Sodhi,Computer Science,2,7810035349,srastogi@example.net,"H.No. 395, Kanda Circle
Thane 654092",True,Both,1,3.6
44818965,Aarav Thakur,Computer Science,3,07604220989,charvi59@example.com,"89/049
Sura Road
Tiruppur 672683",True,Passenger,4,4.1
54969685,Hunar Chowdhury,Electrical,1,+919386227585,nitya05@example.com,"78
Bir, Tadepalligudem-349158",False,Passenger,5,4.8
82524511,Faiyaz Tara,Chemical,2,2168288807,keyasachar@example.net,"28, Uppal Chowk
Jaunpur-540305",False,Driver,5,4.2
41956312,Hazel Hari,Computer Science,4,2477689198,ira48@example.net,"H.No. 410
Sarin Chowk
Kolhapur 618543",True,Driver,5,3.9
51957434,Madhav Chaudhuri,Computer Science,2,+910676044670,lalsana@example.com,"H.No. 36, Badami Street, Aizawl-675687",True,Passenger,2,3.4
49847556,Kaira Dada,Chemical,4,2318511133,ghoseeshani@example.net,"49, Ravel Marg, Dehradun 905930",False,Passenger,5,3.1
44349003,Kiaan Virk,Chemical,4,+916897403524,aarnadora@example.org,"H.No. 111
Arya Marg
Gorakhpur 123188",False,Driver,3,3.7
26809787,Yashvi Bhatti,Civil,4,5882324420,gsahota@example.net,"53/556
Kala Ganj
Satna 862594",True,Both,2,3.7
88603307,Mohanlal Bakshi,Civil,2,1149903160,saanvitailor@example.org,"H.No. 225, Atwal, South Dumdum-135293",True,Passenger,3,3.2
